gene,hgnc_id,el_tier,disorder,foundation,foundation_url,registry,registry_url,platforms,simons_enrolled,cords,therapeutics,fda_report,fda_report_url,contact_email,linkedin,facebook,instagram,youtube,net_pags
BRAT1,HGNC:21701,2,Rigidity and Multifocal Seizure Syndrome / BRAT1-related DEE,Small family network (RMFSL Family Network); growing community,,Academic cohorts; Citizen Health partnerships,,Citizen Health; Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,BRAT1 family group,,,RMFSL Family Network
CACNA1E,HGNC:1392,2,CACNA1E-related neurodevelopmental disorder (DEE69),No dedicated foundation; family network through CACNA1A Foundation,,Academic cohorts,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only; calcium channel modulators,,,,,Family groups,,,
CHRNA4,HGNC:1958,2,Autosomal Dominant Sleep-related Hypermotor Epilepsy (ADSHE; previously ADNFLE),No dedicated foundation; Epilepsy Foundation; CURE Epilepsy,https://www.facebook.com/groups/265440120739437,Academic cohorts; Florey/Melbourne,No dedicated public patient registry identified,Academic only (Florey/Melbourne cohort); Sanford CoRDS (umbrella),No,Umbrella,Carbamazepine (responsive); nicotine patches (some reports),,,,,https://www.facebook.com/groups/265440120739437,,,
CHRNB2,HGNC:1962,2,Autosomal Dominant Sleep-related Hypermotor Epilepsy (CHRNB2-related),No dedicated foundation,https://www.facebook.com/groups/265440120739437,Academic cohorts,No dedicated public patient registry identified,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Carbamazepine (responsive),,,,,https://www.facebook.com/groups/265440120739437,,,
CLN5,HGNC:2076,2,Variant Late-Infantile Neuronal Ceroid Lipofuscinosis (CLN5),"Same Batten umbrella foundations (BDSRA, Beyond Batten, BDFA)",https://bdsra.org,DEM-CHILD database; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,Academic / REDCap (DEM-CHILD); Foundation-hosted (BDSRA registry); Sanford CoRDS,No,Yes ('CLN5 disease'),"Neurogene NGN-101 (intracerebroventricular AAV gene therapy, Phase 1/2)",,,,,BDSRA FB; CLN5 family groups,,,BDSRA; Beyond Batten; BDFA
CLN6,HGNC:2077,2,Variant Late-Infantile / Adult-Onset Neuronal Ceroid Lipofuscinosis (CLN6),Same Batten umbrella; CureCLN6 (research-focused),https://bdsra.org,DEM-CHILD database; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,Academic / REDCap (DEM-CHILD); Foundation-hosted (BDSRA registry); Sanford CoRDS,No,Yes ('CLN6 disease'),"Amicus Therapeutics AT-GTX-501 (intrathecal AAV9, completed Phase 1/2; ongoing development)",,,,,BDSRA FB; family groups,,,CureCLN6; BDSRA; Beyond Batten; BDFA
CLN8,HGNC:2079,2,Variant Late-Infantile Neuronal Ceroid Lipofuscinosis (CLN8); Northern Epilepsy,Same Batten umbrella,https://bdsra.org,DEM-CHILD database; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,Academic / REDCap (DEM-CHILD); Foundation-hosted (BDSRA registry); Sanford CoRDS,No,Yes ('CLN8 disease'),Preclinical AAV programs,,,,,BDSRA FB; CLN8 family groups,,,BDSRA; Beyond Batten; BDFA
CNTNAP2,HGNC:13830,2,CNTNAP2-related disorders (CDFE; cortical dysplasia-focal epilepsy syndrome),No dedicated foundation; relevant to autism research community,,Simons Searchlight (autism overlap); academic cohorts,,Simons Searchlight (SFARI Base); Academic only (autism research overlap); Sanford CoRDS (umbrella),Yes (CNTNAP2 enrolled),Umbrella,Preclinical only,,,,,Family groups,,,
COL4A1,HGNC:2202,2,"COL4A1-related disorders (cerebrovascular, brain malformations + epilepsy)",Gould Syndrome Foundation,https://gouldsyndromefoundation.org,Academic cohorts,https://www.gouldsyndromefoundation.org/medical-research/gould-syndrome-patient-registry-article,Academic only; Sanford CoRDS (umbrella),No,Umbrella (cerebrovascular umbrella),Preclinical; no targeted therapy; supportive care for stroke risk,,,,,COL4 Family Forum FB,,,Gould Syndrome Foundation
COL4A2,HGNC:2203,2,"COL4A2-related disorders (cerebrovascular, schizencephaly, epilepsy)",Gould Syndrome Foundation,https://gouldsyndromefoundation.org,Academic cohorts,https://www.gouldsyndromefoundation.org/medical-research/gould-syndrome-patient-registry-article,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,COL4 Family Forum FB,,,Gould Syndrome Foundation
DEPDC5,HGNC:18423,2,"DEPDC5-related epilepsies (FFEVF, FCD-related, infantile spasms variants)","No dedicated foundation. Covered by Epilepsy Foundation, Child Neurology Foundation, Rare Epilepsy Network. TSC Alliance bridges some mTORopathy work.",https://www.facebook.com/groups/265440120739437,"International DEPDC5 cohort (academic, 586+ patients in 2024 study)",No dedicated public patient registry identified,Academic only (multi-site cohorts); Sanford CoRDS (umbrella),No,Umbrella (focal epilepsy),Stoke Therapeutics (TANGO ASO program disclosed); mTOR inhibitor repurposing,,,,,https://www.facebook.com/groups/265440120739437,,,
EEF1A2,HGNC:3192,2,EEF1A2-related neurodevelopmental disorder (DEE33),EEF1A2 family network (no major dedicated foundation),,Edinburgh academic cohort; Simons Searchlight,,Academic / REDCap (Edinburgh); Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (EEF1A2 enrolled),Umbrella,Preclinical only,,,,,Family groups,,,EEF1A2 family network
GABBR2,HGNC:4507,2,GABBR2-related disorders (DEE59; Rett-like),No dedicated foundation; some Rett research overlap,,Academic cohorts,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical; GABA-B receptor modulators,,,,,Family groups,,,
GABRG2,HGNC:4087,2,"GABRG2-related epilepsies (GEFS+ type 3, Dravet-like, FS, JME)",Cure GABA-A Variants,https://curegabaa.org/,Via Cure GABA-A Variants,No dedicated public patient registry identified in this pass,"Combined Brain biorepository (via Cure GABA-A Variants); Academic only (Macdonald, Berkovic cohorts); Sanford CoRDS (umbrella)",No,Umbrella (GEFS+/DEE),Preclinical; GABA-A receptor pharmacology,,,,https://www.linkedin.com/company/cure-gaba-a-variants,https://www.facebook.com/cure.gaba.a.variants/,https://www.instagram.com/curegabaa/,https://www.youtube.com/channel/UCT8Du_C_8MKQvKLIyJO6DMQ,Cure GABA-A Variants
GRN,HGNC:4601,2,Neuronal Ceroid Lipofuscinosis 11 (CLN11) / Adult-onset; FTD,Bluefield Project to Cure FTD (GRN focus); Association for Frontotemporal Degeneration (AFTD); Batten umbrella for CLN11,https://bdsra.org,ALLFTD (NIH RDCRN); Bluefield-funded NH,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,"NIH RDCRN (ALLFTD); Foundation-hosted (Bluefield Project NH); Foundation-hosted (BDSRA, for CLN11 cases)",No,Yes (FTD umbrella),"Vesper Bio; Latus Bio; AviadoBio (AVB-101, Phase 1/2 gene therapy); multiple preclinical programs",EL-PFDD Meeting (2021); Patient Listening Session (2023),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,,,Bluefield FB; AFTD FB,@theaftd; @bluefieldproject,,Bluefield Project to Cure FTD; Association for Frontotemporal Degeneration
HCN1,HGNC:4845,2,HCN1-related epilepsies (DEE24),No dedicated foundation; covered by Sodium/Channel Coalition partners,,Florey/Melbourne academic cohort,,Academic only (Florey/Melbourne cohort); Sanford CoRDS (umbrella),No,Umbrella (DEE),Preclinical only,,,,,Family groups,,,
IQSEC2,HGNC:29059,2,IQSEC2-related neurodevelopmental disorder (X-linked ID),IQSEC2 family network; small advocacy presence,https://iqsec2.org/ (verify),Family registry partnerships,,Foundation-hosted (IQSEC2 family); Simons Searchlight (SFARI Base); Academic / REDCap (Bar-Ilan); Sanford CoRDS (umbrella),Yes (IQSEC2 enrolled),Umbrella,Preclinical: ASO and small molecule programs,,,,,Family groups,,,IQSEC2 family network
KCNA1,HGNC:6218,2,Episodic Ataxia 1 (EA1); KCNA1-related epilepsy,National Ataxia Foundation (umbrella); CACNA1A Foundation cross-coverage,https://www.ataxia.org/,NAF registry; academic cohorts,,Foundation-hosted (National Ataxia Foundation registry); Sanford CoRDS (umbrella),No,Umbrella (ataxia umbrella),Carbamazepine; acetazolamide; 4-AP,,,,,NAF FB; family groups,@nationalataxia,,National Ataxia Foundation
KCNQ3,HGNC:6297,2,KCNQ3-related disorders (BFNE2; ID; DEE),KCNQ2 Cure Alliance (covers KCNQ2/3 jointly via RIKEE),https://www.kcnq2cure.org/,RIKEE (covers KCNQ2/3 jointly),https://www.rikee.org/,"Academic / REDCap (RIKEE, covers KCNQ2/3 jointly); Foundation-hosted (KCNQ2 Cure Alliance, joint); Sanford CoRDS (umbrella)",No,Umbrella,Xenon Pharma azetukalner (covers KCNQ2/3 indications); ezogabine repurposing,,,,,KCNQ2 Cure Alliance FB,@kcnq2cure,,KCNQ2 Cure Alliance
KCNT2,HGNC:18866,2,KCNT2-related disorders (DEE57),Some shared infrastructure with KCNT1 community (sister gene),,Academic cohorts,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical; quinidine being explored (KCNT1 analogy),,,,,Family groups; some KCNT1 community overlap,,,
KCTD7,HGNC:21957,2,Progressive Myoclonic Epilepsy 3 (CLN14),BDSRA (Batten umbrella covers CLN14); PME family network,https://bdsra.org,DEM-CHILD; BDSRA,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,Academic / REDCap (DEM-CHILD); Foundation-hosted (BDSRA registry),No,Yes (NCL umbrella),Preclinical only,,,,,BDSRA FB,@bdsra,,BDSRA
MTOR,HGNC:3942,2,MTOR-related disorders (Smith-Kingsmore; somatic mTORopathy in FCD type II),Smith-Kingsmore Syndrome Foundation; SKS Awareness; mTORopathy umbrella with TSC Alliance,https://smithkingsmoresyndrome.com/,SKS Foundation registry; Brain Gene Registry partnership,,Foundation-hosted (Smith-Kingsmore Syndrome Foundation); Academic / REDCap (Brain Gene Registry); Sanford CoRDS,No,Yes ('Smith-Kingsmore syndrome'),"Sirolimus/everolimus repurposing (mTOR inhibitor, limited evidence in germline MTOR variants); preclinical",,,,,SKS Foundation FB,@smithkingsmoresyndrome,,Smith-Kingsmore Syndrome Foundation; SKS Awareness
NPRL3,HGNC:14124,2,NPRL3-related familial focal epilepsy (FFEVF3),No dedicated foundation; same gap as DEPDC5,,"Academic cohorts (Picard, Baulac)",,Academic only (multi-site); Sanford CoRDS (umbrella),No,Umbrella,mTOR inhibitor repurposing (DEPDC5 analog); preclinical,,,,,Family-led closed groups,,,
PIGA,HGNC:8957,2,PIGA-CDG / DEE20 (X-linked GPI deficiency),"GPI-Anchor Disorder Alliance (covers PIGA, PIGN, PIGV, etc.); CDG CARE",https://gpiad.org/; https://cdgcare.com/,FCDGC NIH RDCRN; GPI Alliance registry,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,NIH RDCRN (FCDGC); Foundation-hosted (GPI-AD Alliance); Sanford CoRDS,No,Yes ('PIGA-CDG' / GPI umbrella),Preclinical only,Patient Listening Session (2023),https://www.fda.gov/patients/fda-patient-listening-sessions/patient-listening-session-summaries,info@cdgcare.org,https://www.linkedin.com/company/cdg-care,https://www.facebook.com/cdgcare/,https://www.instagram.com/cdgcare/,https://www.youtube.com/channel/UC04CIRYlJSUkNU8GBnksCMg,GPI-Anchor Disorder Alliance; CDG CARE
PIGN,HGNC:8967,2,PIGN-CDG / MCAHS1 (Multiple Congenital Anomalies-Hypotonia-Seizures),GPI-Anchor Disorder Alliance; CDG CARE,https://gpiad.org/; https://cdgcare.com/,FCDGC NIH RDCRN; GPI Alliance registry,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,NIH RDCRN (FCDGC); Foundation-hosted (GPI-AD Alliance); Sanford CoRDS,No,Yes (GPI/CDG umbrella),Preclinical; pyridoxal-5-phosphate supplementation in some cases,Patient Listening Session (2023),https://www.fda.gov/patients/fda-patient-listening-sessions/patient-listening-session-summaries,info@cdgcare.org,https://www.linkedin.com/company/cdg-care,https://www.facebook.com/cdgcare/,https://www.instagram.com/cdgcare/,https://www.youtube.com/channel/UC04CIRYlJSUkNU8GBnksCMg,GPI-Anchor Disorder Alliance; CDG CARE
RHOBTB2,HGNC:18756,2,RHOBTB2-related developmental and epileptic encephalopathy (DEE64),Cure RHOBTB2 (small parent-led),,Academic cohorts; family registry,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,RHOBTB2 family groups,,,Cure RHOBTB2
ROGDI,HGNC:29478,2,Kohlschütter-Tönz Syndrome,"Kohlschütter-Tönz Syndrome Foundation (small, international)",,Academic cohorts (Univ. of Bern),,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,Family groups,,,Kohlschütter-Tönz Syndrome Foundation
SCN1B,HGNC:10586,2,"SCN1B-related disorders (GEFS+1, DEE52, Brugada)",No dedicated SCN1B foundation; Dravet Syndrome Foundation covers some overlap; Sodium Channel Coalition partner,,Sodium Channel Coalition cohorts; Dravet umbrella,,Sodium Channel Coalition cohorts; Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (SCN1B enrolled),Umbrella (DEE/GEFS+),Preclinical only,,,,,,,,
SCN3A,HGNC:10590,2,"SCN3A-related disorders (DEE62, polymicrogyria with seizures)",SCN3A Family network; Sodium Channel Coalition partner,https://scn3afoundation.org/ (verify),Sodium Channel Coalition cohorts; Penn academic NH,,Sodium Channel Coalition cohorts; Academic / REDCap (Penn); Sanford CoRDS (umbrella),No,Umbrella,Preclinical: sodium channel modulators,,,,,Family groups,,,SCN3A Family network; Sodium Channel Coalition
SETD1B,HGNC:29187,2,SETD1B-related neurodevelopmental disorder (IDDSELD),"Setd1b Family Network (small, emerging); covered by Kabuki/COMPASS umbrella research",,Erasmus MC academic cohort; GeneMatcher,,Academic only (GeneMatcher cohorts); Sanford CoRDS (umbrella),No,Umbrella,Preclinical; epigenetic modulator approaches,,,,,Family groups,,,Setd1b Family Network
SLC25A22,HGNC:19954,2,SLC25A22-related early infantile epileptic encephalopathy (DEE3),No dedicated foundation; small family network,,Academic cohorts,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,Family groups,,,
SLC35A2,HGNC:11022,2,SLC35A2-CDG (X-linked CDG; epileptic encephalopathy),CDG CARE (umbrella),https://cdgcare.com/,FCDGC NIH RDCRN,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,NIH RDCRN (FCDGC); Foundation-hosted (CDG CARE); Sanford CoRDS,No,Yes (CDG umbrella),"Galactose supplementation (open-label evidence, actionable treatment for some)",Patient Listening Session (2023),https://www.fda.gov/patients/fda-patient-listening-sessions/patient-listening-session-summaries,info@cdgcare.org,https://www.linkedin.com/company/cdg-care,https://www.facebook.com/cdgcare/,https://www.instagram.com/cdgcare/,https://www.youtube.com/channel/UC04CIRYlJSUkNU8GBnksCMg,CDG CARE
SPTAN1,HGNC:11273,2,SPTAN1-related developmental and epileptic encephalopathy (DEE5),"SPTAN1 Foundation (small, emerging); family network",,Academic cohorts; Citizen Health partnerships,,Citizen Health; Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,Family groups,,,SPTAN1 Foundation
STX1B,HGNC:18539,2,STX1B-related epilepsy (FS+ with epilepsy),No dedicated foundation,,Academic cohorts (Lerche Tübingen),,Academic only (Tübingen); Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,,,,
SZT2,HGNC:29040,2,SZT2-related developmental and epileptic encephalopathy (DEE18),SZT2 family network (small),,Academic cohorts only,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,"mTOR inhibitor repurposing (rapamycin/sirolimus, case reports); preclinical",,,,,Family groups,,,SZT2 family network
UBA5,HGNC:23230,2,UBA5-related developmental and epileptic encephalopathy (DEE44),"UBA5 Foundation (small, emerging)",,Academic cohorts; family registry,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical: protein UFMylation pathway approaches,,,,,Family groups,,,UBA5 Foundation
UNC80,HGNC:26582,2,UNC80-related disorder (Infantile Hypotonia with Psychomotor Retardation),"UNC80 Foundation (small, emerging)",https://fundacionlibellas.org/,Academic cohorts; family registry,No dedicated public patient registry identified in this pass,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,UNC80 family groups,https://www.instagram.com/fundacionlibellas/,,UNC80 Foundation
VPS13A,HGNC:1908,2,Chorea-Acanthocytosis (ChAc); VPS13A-related disorders,Advocacy for Neuroacanthocytosis Patients (UK); Hereditary Disease Foundation overlap (Huntington's family),https://naadvocacy.org/,Academic registry; international NA cohort,,Foundation-hosted (NA Advocacy registry); Academic only; Sanford CoRDS (umbrella),No,Umbrella (movement disorder umbrella),Preclinical: lithium; antisense oligonucleotides,,,,,NA Advocacy FB,,,Advocacy for Neuroacanthocytosis Patients
ACTB,HGNC:132,3,,,,,,,,,,,,,,,,,Simons Searchlight
ACTL6B,HGNC:160,3,,,,,,,,,,,,,,,,,Simons Searchlight ACTL6B Facebook community
ADCY5,HGNC:236,3,,,,,,,,,,,,,,,,,ADCY5.org
AGO1,HGNC:3262,3,,,,,,,,,,,,,,,,,AGO Alliance
AHDC1,HGNC:25230,3,,,,,,,,,,,,,,,,,Xia-Gibbs Society
ANKRD11,HGNC:21316,3,,,,,,,,,,,,,,,,,ANKRD11 Foundation
ARG1,HGNC:663,3,,,,,,,,,,,,,,,,,National Urea Cycle Disorders Foundation (NUCDF); Support ARG1-D
ASH1L,HGNC:19088,3,,,,,,,,,,,,,,,,,Care4ASH1L; Simons Searchlight Community
ASXL2,HGNC:23805,3,,ASXL Rare Research Endowment (ARRE) Foundation,https://www.arrefoundation.org,ASXL natural history study and biobank; Simons Searchlight,https://arrefoundation.org/research/asxl-related-disorders-natural-history-study-and-biobank/,,,,,,,,,,,,ARRE Foundation
ASXL3,HGNC:29357,3,,ASXL Rare Research Endowment (ARRE) Foundation,https://www.arrefoundation.org,ASXL3 natural history study and biobank; Simons Searchlight,https://arrefoundation.org/study/simons-searchlight-asxl3-registry/,,,,,,,,,,,,ARRE Foundation; Bainbridge-Ropers Syndrome and ASXL3 Families
ATN1,HGNC:3033,3,,,,,,,,,,,,,,,,,CureDRPLA
ATP6AP2,HGNC:18305,3,,,,,,,,,,,,,,,,,v-ATPase Alliance
ATP6V0A1,HGNC:865,3,,,,,,,,,,,,,,,,,v-ATPase Alliance
ATP6V0C,HGNC:855,3,,,,,,,,,,,,,,,,,v-ATPase Alliance
ATP6V1B2,HGNC:854,3,,,,,,,,,,,,,,,,,v-ATPase Alliance
AUTS2,HGNC:14262,3,,,,,,,,,,,,,,,,,AUTS2 Syndrome- Promoting Research Facebook Group
CACNA1C,HGNC:1390,3,,,,,,,,,,,,,,,,,Timothy Syndrome Alliance
CAPRIN1,HGNC:6743,3,,,,,,,,,,,,,,,,,CAPRIN1 Foundation
CCM2,HGNC:21708,3,,,,,,,,,,,,,,,,,Angioma Alliance
CHD3,HGNC:1918,3,,,,,,,,,,,,,,,,,CHD3 Families (Snijders Blok Campeau Syndrome)
CIC,HGNC:14214,3,,,,,,,,,,,,,,,,,Simons Searchlight CIC Facebook community
CLCN4,HGNC:2022,3,,,,,,,,,,,,,,,,,Cure CLCN4
CNOT3,HGNC:7879,3,,,,,,,,,,,,,,,,,Simons Searchlight Community (2)
CREBBP,HGNC:2348,3,,,,,,,,,,,,,,,,,Simons Searchlight Community (3)
CRELD1,HGNC:14630,3,,,,,,,,,,,,,,,,,CRELD1 Warriors
CUL3,HGNC:2553,3,,CUL3 Support and Awareness,https://www.cul3.org,CUL3 research participation (Simons Searchlight),https://www.cul3.org/participate-in-research,,,,,,,,,,,,CUL3 Support & Awareness Foundation
CYFIP2,HGNC:13760,3,,CYFIP2 Network,https://www.cyfip2network.org/,CYFIP2 registry (Take Action),https://www.cyfip2network.org/take-action,,,,,,,,,,,,CYFIP2 Network
DHDDS,HGNC:20603,3,,Cure DHDDS,https://www.curedhdds.org,DHDDS patient registry (CoRDS / Sanford Research),https://www.curedhdds.org/patient-registry/,,,,,,,,,,,,Cure DHDDS; Cure DHDDS USA
DYNC1H1,HGNC:2961,3,,DYNC1H1 Association,https://www.dync1h1.org/,DYNC1H1 registry,https://www.dync1h1.org/registry,,,,,,,,,,,,DYNC1H1 Association; DYNC1H1 Gene Mutation Family Support Group
EARS2,HGNC:29419,3,,,,,,,,,,,,,,,,,CureARS
EIF3F,HGNC:3275,3,,,,,,,,,,,,,,,,,EIF3F Research Foundation
FAM177A1,HGNC:19829,3,,FAM177A1 Research Fund,https://www.fam177a1.org/,FAM177A1 data collection (RARE-X),https://www.fam177a1.org/fam177a1-patient-data-collection,,,,,,,,,,,,FAM177A1 Collaborative Research Network; FAM177A1 Research Fund
FARS2,HGNC:21062,3,,,,,,,,,,,,,,,,,CureARS
FBXL4,HGNC:13601,3,,,,,,,,,,,,,,,,,FBXL4 parent community group; United Mitochondrial Disease Foundation
FBXO11,HGNC:13590,3,,,,,,,,,,,,,,,,,Comunidad Simons Searchlight
FUCA1,HGNC:4006,3,,,,,,,,,,,,,,,,,International Society for Mannosidosis & Related Diseases; UK MPS Society
GABRB2,HGNC:4082,3,,Cure GABRB2,https://www.curegabrb2.org/,,,,,,,,,,,,,,Cure GABA A Variants
GAMT,HGNC:4136,3,,,,,,,,,,,,,,,,,ACD
GRIA1,HGNC:4571,3,,,,,,,,,,,,,,,,,CureGRIN; GRI France; GRIA1 Facebook Group
GRIA2,HGNC:4572,3,,,,,,,,,,,,,,,,,CureGRIN; GRI France
GRIA3,HGNC:4573,3,,,,,,,,,,,,,,,,,CureGRIN; GRI France; GRIA3 Facebook Group
GRIA4,HGNC:4574,3,,,,,,,,,,,,,,,,,CureGRIN
GRIK2,HGNC:4580,3,,,,,,,,,,,,,,,,,CureGRIN; GRI France
HIVEP2,HGNC:4921,3,,,,,,,,,,,,,,,,,Hope for HIVEP2
HNRNPH2,HGNC:5042,3,,HNRNP Family Foundation,https://www.hnrnp.org/,HNRNP natural history study (Geneial),https://hnrnp.org/natural-history-study,,,,,,,,,,,,Yellow Brick Road Project
HNRNPK,HGNC:5044,3,,HNRNP Family Foundation,https://www.hnrnp.org/,HNRNP natural history study (Geneial),https://hnrnp.org/natural-history-study,,,,,,,,,,,,HNRNP-Related Parent Connect
HNRNPR,HGNC:5047,3,,HNRNP Family Foundation,https://www.hnrnp.org/,HNRNP natural history study (Geneial),https://hnrnp.org/natural-history-study,,,,,,,,,,,,HNRNP-Related Parent Connect
HRAS,HGNC:5173,3,,,,,,,,,,,,,,,,,Costello Kids; Costello Syndrome Family Network (CSFN)
IRF2BPL,HGNC:14282,3,,,,,,,,,,,,,,,,,Asociación Española IRF2BPL; EllysTeam; IRF2BPL Foundation; Lihi’s Smile; Stand by Eli Foundation; Tough Genes; Yellow for Yiannis; iDREAM For a Cure Foundation
JARID2,HGNC:6196,3,,,,,,,,,,,,,,,,,Simons Foundation; Simons Searchlight
KANSL1,HGNC:24565,3,,,,,,,,,,,,,,,,,KDVS Foundation
KAT6A,HGNC:13013,3,,,,,,,,,,,,,,,,,KAT6 Foundation
KCNC1,HGNC:6233,3,,,,,,,,,,,,,,,,,KCNC1 Foundation
KDM5C,HGNC:11114,3,,,,,,,,,,,,,,,,,KARES Foundation
KMT2A,HGNC:7132,3,,,,,,,,,,,,,,,,,Wiedemann-Steiner Foundation
KMT2C,HGNC:13726,3,,,,,,,,,,,,,,,,,KMT2C Foundation
KMT2E,HGNC:18541,3,,,,,,,,,,,,,,,,,KMT2E Foundation O’Donnell-Luria-Rodan Syndrome
KMT5B,HGNC:24283,3,,,,,,,,,,,,,,,,,Simons Searchlight
KPTN,HGNC:6404,3,,KPTN Alliance,https://kptnalliance.org/,,,,,,,,,,,,,,KPTN Alliance
LAMA2,HGNC:6482,3,,,,,,,,,,,,,,,,,CMD Turkey; Cure CMD; ImpulsaT; LAMA2 France; Olivia Bloomfield Foundation; Struggle Against Muscular Dystrophy LAMA2/UK; Voor Sara
MANBA,HGNC:6831,3,,,,,,,,,,,,,,,,,International Society for Mannosidosis & Related Diseases; Lost Enzyme Project
MAST1,HGNC:19034,3,,,,,,,,,,,,,,,,,MAST Foundation; MAST1 Facebook Group
MAST3,HGNC:19036,3,,,,,,,,,,,,,,,,,MAST Foundation
MAST4,HGNC:19037,3,,,,,,,,,,,,,,,,,MAST Foundation
MBD5,HGNC:20444,3,,,,,,,,,,,,,,,,,MAND Caregiver Support Network
MED12,HGNC:11957,3,,,,,,,,,,,,,,,,,MED12 Foundation
MYT1L,HGNC:7623,3,,,,,,,,,,,,,,,,,Simons Searchlight Community (4); Extra-Vaillants MYT1L; MYT1L Project
NAA15,HGNC:30782,3,,,,,,,,,,,,,,,,,NAA15 Families Together; Simons Searchlight Community - NAA15 Facebook group
NALCN,HGNC:19082,3,,Channeling Hope,https://www.channelinghope.org,NALCN registry (CRID; REDCap; RareX),https://www.channelinghope.org/patient-research/,,,,,,,,,,,,CHF
NARS1,HGNC:7643,3,,The Rory Belle Foundation,https://www.rorybelle.org,,,,,,,,,,,,,,Rory Belle Foundation
NBEA,HGNC:7648,3,,,,,,,,,,,,,,,,,NBEA Facebook group
NCKAP1,HGNC:7666,3,,,,,,,,,,,,,,,,,Simons Searchlight NCKAP1 Facebook community
NEXMIF,HGNC:29433,3,,,,,,,,,,,,,,,,,NEXMIF ITALIA odv; Unione Italiana Nexmif; XLID98 Foundation
NF1,HGNC:7765,3,,,,,,,,,,,,,,,,,Children’s Tumor Foundation; CureNFwithJack; NF Network
NPC1,HGNC:7897,3,,,,,,,,,,,,,,,,,Fundacion Niemann-Pick; Niemann-Pick Disease Group
NR4A2,HGNC:7981,3,,CureNURR1,https://www.curenurr1.org/,NR4A2 data platform (Citizen Health),https://www.citizen.health/ai-advocate/curenurr1,,,,,,,,,,,,CureNURR1; NR4A2 PAG
NUS1,HGNC:21042,3,,NUS1 Foundation,https://www.nus1foundation.org/,NUS1 Foundation Patient Registry,https://www.nus1foundation.org/patientregistry,,,,,,,,,,,,NUS1 Foundation
PACS1,HGNC:30032,3,,,,,,,,,,,,,,,,,PACS1 Foundation
PACS2,HGNC:23794,3,,,,,,,,,,,,,,,,,PACS2 Research Foundation
PAX6,HGNC:8620,3,,,,,,,,,,,,,,,,,ANA; IWSA
PHF21A,HGNC:24156,3,,,,,,,,,,,,,,,,,PHF21A Facebook group
PMM2,HGNC:9115,3,,,,,,,,,,,,,,,,,Maggie's Cure
POGZ,HGNC:18801,3,,,,,,,,,,,,,,,,,White Sutton Syndrome Foundation
POLG2,HGNC:9180,3,,,,,,,,,,,,,,,,,PolG Foundation
PPP2R1A,HGNC:9302,3,,,,,,,,,,,,,,,,,PPP2R5D Foundation
PPP2R5C,HGNC:9311,3,,,,,,,,,,,,,,,,,PPP2R5D Foundation
PPP3CA,HGNC:9314,3,,,,,,,,,,,,,,,,,PPP3CA Hope Foundation
RAB18,HGNC:14244,3,,,,,,,,,,,,,,,,,Warburg Micro Foundation
RAB3GAP1,HGNC:17063,3,,,,,,,,,,,,,,,,,Warburg Micro Foundation
RAB3GAP2,HGNC:17168,3,,,,,,,,,,,,,,,,,Warburg Micro Foundation
